"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"0",136367,59390,18031,13757,12591,9511,10613,10947,14640,4967,9221,5953,6942,3594,3464,3280,2530,433,1491,894,2108,1413
"1",143135,69523,21331,18166,15104,13410,15194,14721,12354,9083,9649,8254,6984,4218,6669,2753,2503,3891,1372,1402,1672,NA
"2",146469,73290,22224,15080,15785,12589,27961,16505,10320,12852,8940,9027,4052,4336,2955,6672,2411,4356,1707,2193,NA,NA
"3",158518,73610,24624,19841,16214,17950,12080,16914,12862,14094,12028,6659,9111,8113,6426,3378,3202,5785,2708,NA,NA,NA
"4",158633,65824,25340,17879,17779,18093,16734,20694,11511,8813,13200,13949,9399,5141,5162,5865,2082,3430,NA,NA,NA,NA
"5",153215,71859,24614,18065,17541,21822,17675,16447,12182,16129,12467,8285,4905,8428,2668,1517,3263,NA,NA,NA,NA,NA
"6",153185,62514,19910,19775,17365,18239,13093,15636,14740,18535,19887,10766,10989,6560,6183,3010,NA,NA,NA,NA,NA,NA
"7",150974,66571,24855,18073,18963,20361,18194,18688,16250,20410,24203,9603,8991,13309,6535,NA,NA,NA,NA,NA,NA,NA
"8",141432,63586,20321,15976,18783,16963,19225,16359,17893,8091,10392,8754,8693,6045,NA,NA,NA,NA,NA,NA,NA,NA
"9",141554,65956,23087,19796,22145,21470,27245,25583,20029,14840,9973,12614,7478,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",141899,64258,23353,17200,16025,17436,23785,20398,18687,13833,11289,12459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",145037,70090,25843,19487,20067,23594,18213,23298,11452,13592,13327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",135739,68260,28177,17838,27486,21476,24579,16298,12245,12785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",135350,74195,26675,20490,19866,16891,11969,14893,15814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",132847,70745,24310,22012,20563,15652,15218,16454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",135951,69499,24412,20762,15747,13831,20672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",131151,62484,21730,18837,13123,14709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",130188,60074,23324,12529,16653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",118505,56117,18230,13956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",118842,58829,22201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",121011,64845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",132116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
